transaction_id,customer_id,timestamp,amount,merchant_category,location,is_simulated_fraud
1b0914a3-c365-4c29-87ac-867a890e73eb,CUST00147,2026-06-28 13:40:17.379834,915.49,Utility Bill,Rose Hill,1
5a77cea6-1269-4a32-8fe4-ec383d57de42,CUST00006,2026-06-28 15:08:00.379834,551.54,Pharmacy,Curepipe,0
10a4ea73-7769-42d2-bd55-4eaa37fff87e,CUST00138,2026-06-28 15:14:26.379834,1831.26,Restaurant,Port Louis,0
4cc686c8-7fe7-4f02-9dc7-3fa5a6fceefd,CUST00021,2026-06-28 15:29:55.379834,561.11,Online Retail,Mahebourg,0
72e3a17d-78a7-4109-bafa-80c7ab934658,CUST00146,2026-06-28 15:39:30.379834,1706.42,Grocery,Tamarin,0
56ae403b-b864-4ce6-b543-7b5134699494,CUST00119,2026-06-28 15:48:48.379834,331.69,ATM Withdrawal,Tamarin,0
2a27a9b1-737f-48f7-bf8b-1f4d0a6c79b8,CUST00088,2026-06-28 16:00:30.379834,1911.25,Pharmacy,Vacoas,0
4c67d3fe-3d58-40d7-a27c-16e2c7908ae1,CUST00040,2026-06-28 16:02:12.379834,3275.66,Grocery,Beau Bassin,0
74e188d0-86b3-4185-b6ac-cc6a197ce8d0,CUST00022,2026-06-28 16:13:43.379834,681.01,Electronics,Flacq,1
71e18976-253d-4441-aa38-b5cbaa549529,CUST00061,2026-06-28 16:17:29.379834,792.83,Fuel Station,Curepipe,0
6139f4b5-fd40-4b0f-9ab4-5a7c5e8af0ca,CUST00019,2026-06-28 16:25:27.379834,570.22,ATM Withdrawal,Mahebourg,0
d58c49ea-d6eb-4ee3-9829-d4880204834f,CUST00133,2026-06-28 16:51:54.379834,5610.19,Electronics,Curepipe,0
e6369aba-4e96-4bc2-88a6-780bc924fbe6,CUST00158,2026-06-28 17:07:13.379834,3882.5,Entertainment,Curepipe,0
b9c0c03a-cca3-4a15-ab30-dba234aac799,CUST00105,2026-06-28 17:24:40.379834,1622.3,Entertainment,Flacq,0
bb1a394a-b8a2-4a23-9f51-9ed3848370f3,CUST00040,2026-06-28 17:27:21.379834,2145.76,Electronics,Beau Bassin,0
c14ed37e-6ada-4b3d-9396-fd9a951b702d,CUST00030,2026-06-28 17:54:25.379834,1714.28,Electronics,Beau Bassin,0
091409f9-9869-4b92-b30c-007d3f67b370,CUST00041,2026-06-28 18:00:52.379834,1526.77,Online Retail,Tamarin,0
bf8f5170-45a2-4988-9af6-42f3908d6a08,CUST00125,2026-06-28 18:12:57.379834,2526.15,Grocery,Mahebourg,0
12366372-e7b9-455b-99c8-de97dc5ccab4,CUST00065,2026-06-28 18:19:46.379834,1184.33,Online Retail,Beau Bassin,0
131f576c-8a68-4001-a457-058e02b18c30,CUST00023,2026-06-28 18:32:20.379834,725.25,Fuel Station,Rose Hill,0
56dfc272-8396-45ec-b1fd-805bcaa5dfd0,CUST00095,2026-06-28 18:37:11.379834,827.56,Travel,Flacq,0
359b97a6-4468-451b-813f-e8aea475046e,CUST00186,2026-06-28 19:04:21.379834,1332.07,Grocery,Mahebourg,0
2579c093-7420-45e4-96e2-bf0d360574e1,CUST00057,2026-06-28 19:09:24.379834,1649.2,Utility Bill,Rose Hill,0
